variable,count,mean,median,min,max,std,skewness,kurtosis
SteamUse(kBtu),1395,361058.413947871,0.0,0.0,134943456.0,5019206.082706657,24.425828847352903,623.7394356091767
Electricity(kWh),1395,1414813.9088345263,455209.5938,0.0,49438336.0,3107765.765672742,7.093074003885022,76.10268652752846
Electricity(kBtu),1395,4827345.057773835,1553175.0,0.0,168683602.0,10603696.78612382,7.093073988684975,76.1026861054508
NaturalGas(therms),1395,14542.839732627228,4248.649902,0.0,1381912.375,52015.618480165285,17.437344115347887,399.6628025803414
NaturalGas(kBtu),1395,1454283.9756382795,424865.0,0.0,138191238.0,5201561.854914795,17.437344181147406,399.6628056074223
SiteEnergyUse(kBtu),1395,6642876.541101985,2470566.0,57133.19922,293090784.0,16507399.205701893,11.099067299607123,168.95962428801113
SiteEnergyUseWN(kBtu),1395,6817119.618532208,2626698.25,58114.19922,296671744.0,16705632.216297712,11.141618721931081,170.1090930424659
SiteEUI(kBtu/sf),1395,68.85225815855556,52.40000153,1.399999976,696.7000122,62.490354603796035,3.013310516697194,14.132386111300722
SiteEUIWN(kBtu/sf),1395,71.82437259543458,54.44162245018276,1.4546005011013217,671.9432272736502,65.14683562709172,2.931839777631581,12.462275357783584
SourceEUI(kBtu/sf),1395,169.08702514401364,136.0,4.5,1206.699951,142.8318379020303,2.410037127712938,8.183039961491247
SourceEUIWN(kBtu/sf),1395,172.08580636516487,138.3999939,0.0,1195.099976,143.10888386318823,2.3861320687281067,8.001338713338926
